frame_id,class_name,x1,y1,x2,y2,player_id
0,player,471,736,668,943,1
0,player,1005,182,1132,311,2
0,ball,892,569,933,605,0
5,player,498,709,715,936,1
5,player,1010,189,1125,318,2
5,ball,817,662,865,700,0
10,player,577,678,799,943,1
10,player,1028,193,1112,322,2
15,player,643,712,831,924,1
15,player,1023,191,1125,329,2
15,ball,797,558,842,594,0
20,player,702,703,869,922,1
20,player,1026,193,1121,318,2
20,ball,842,444,867,476,0
25,player,738,698,917,924,1
25,player,1012,191,1114,318,2
25,ball,865,367,890,392,0
30,player,779,698,951,933,1
30,player,1017,191,1082,315,2
30,ball,890,320,912,345,0
35,player,824,712,951,929,1
35,player,994,191,1078,313,2
35,ball,906,297,924,318,0
40,player,844,712,989,958,1
40,player,985,170,1075,318,2
45,player,865,732,1003,952,1
45,player,987,173,1078,309,2
45,ball,931,309,949,327,0
50,player,867,725,1035,974,1
50,player,962,173,1075,306,2
50,ball,931,270,955,297,0
55,player,878,743,1007,961,1
55,player,978,159,1078,293,2
55,ball,933,232,964,254,0
60,player,856,743,1019,990,1
60,player,987,155,1078,288,2
60,ball,899,247,921,266,0
65,player,851,773,1021,1001,1
65,player,1003,148,1078,299,2
70,player,781,768,1005,1008,1
70,player,996,152,1084,295,2
70,ball,815,386,833,404,0
75,player,720,761,915,997,1
75,player,989,146,1078,297,2
75,ball,763,521,786,549,0
80,player,715,759,849,1001,1
80,player,985,146,1057,293,2
80,ball,709,678,749,714,0
85,player,700,761,804,997,1
85,player,960,155,1041,300,2
85,ball,679,714,706,739,0
90,player,672,752,788,990,1
90,ball,636,734,666,766,0
90,player,955,164,1032,300,2
95,player,652,734,779,972,1
95,player,960,159,1041,290,2
100,player,643,718,770,965,1
100,player,955,164,1051,293,2
100,ball,634,553,679,596,0
105,player,616,712,745,976,1
105,player,926,166,1060,293,2
105,ball,661,431,684,458,0
110,player,589,725,743,972,1
110,player,903,157,1017,293,2
110,ball,670,372,693,397,0
115,player,598,716,756,972,1
115,player,860,164,992,288,2
115,ball,672,343,700,372,0
120,player,661,725,788,956,1
120,player,806,159,940,293,2
120,ball,679,300,697,318,0
125,player,693,725,838,967,1
125,player,758,150,881,290,2
125,ball,672,236,702,263,0
130,player,731,709,860,952,2
130,player,704,170,840,290,1
135,player,801,698,933,940,2
135,player,681,168,745,281,1
135,ball,749,227,768,243,0
140,player,811,684,983,938,2
140,player,629,157,715,286,1
140,ball,797,243,817,272,0
145,player,885,693,1023,915,2
145,player,600,155,700,277,1
145,ball,851,281,869,299,0
150,player,924,698,1082,906,2
150,player,580,155,704,281,1
150,ball,901,336,937,363,0
155,player,989,684,1139,906,2
155,player,595,146,738,266,1
155,ball,967,404,996,429,0
160,player,1032,675,1171,900,2
160,ball,1028,494,1055,517,0
160,player,638,146,740,277,1
165,player,1071,680,1204,886,2
165,ball,1107,607,1132,641,0
165,player,675,139,756,270,1
170,player,1100,673,1248,886,2
170,player,715,143,801,277,1
175,player,1134,671,1277,893,2
175,player,738,143,842,297,1
180,player,1134,662,1257,875,2
180,ball,1277,725,1295,748,0
180,player,772,136,847,288,1
185,player,1132,632,1268,852,2
185,ball,1277,598,1304,635,0
185,player,774,139,874,275,1
190,player,1141,637,1279,852,2
190,player,790,155,892,279,1
190,ball,1241,451,1275,481,0
195,player,1134,630,1275,854,2
195,player,808,150,926,272,1
195,ball,1220,367,1245,390,0
200,player,1109,626,1268,850,2
200,player,838,134,969,263,1
200,ball,1195,338,1225,363,0
205,player,1100,610,1254,825,2
205,player,901,143,1005,266,1
205,ball,1191,313,1209,333,0
210,player,1057,587,1241,809,2
210,player,960,146,1046,261,1
210,ball,1175,225,1204,252,0
